accuracy,precision,recall,f1,fpr,fnr,model,oversample,applicable,n_features,attack,asr,family,epsilon,iters,confidence,n_train,n_categorical_selected,categorical_selected,resampled
0.9037882915965788,0.9680723692962618,0.9037225620168275,0.9347913354850104,0.096,0.0962774379831724,LR,smote,True,15.0,clean,0.0,,,,,,,,
0.9058494633845864,0.9709129724140232,0.9036915147940016,0.9360969962050556,0.0872,0.0963084852059983,SVM,smote,True,15.0,clean,0.0,,,,,,,,
0.9987680352531452,0.9995650147584278,0.9988202055326152,0.9991924713482624,0.0014,0.0011797944673848,RF,smote,True,15.0,clean,0.0,,,,,,,,
0.9645810135279206,0.9950996195757302,0.958303579744792,0.9763550381957076,0.0152,0.0416964202552081,MLP,smote,True,15.0,clean,0.0,,,,,,,,
0.7984789973702291,0.9626419955498302,0.7656245148871433,0.8529035382008093,0.0957,0.2343754851128566,LR,smote,True,15.0,FGSM_eps0.15,0.1064228008244687,FGSM,0.15,1.0,,,,,
0.6697860645833827,0.8969712771042454,0.640876773572604,0.747600593966173,0.2371,0.3591232264273961,SVM,smote,True,15.0,FGSM_eps0.15,0.2588310549882726,FGSM,0.15,1.0,,,,,
0.1322703688786751,0.1983335609889359,0.0450805675432332,0.0734631925120161,0.5869,0.9549194324567668,RF,smote,True,15.0,FGSM_eps0.15,0.8672321068966334,FGSM,0.15,1.0,,,,,
0.050249946693833,0.1384121156493804,0.0468192120214846,0.0699703043801039,0.9387,0.9531807879785154,MLP,smote,True,15.0,FGSM_eps0.15,0.9493946788599588,FGSM,0.15,1.0,,,,,
0.6560686109597479,0.8910352753956325,0.6258188705020336,0.7352410132953986,0.2465,0.3741811294979664,LR,smote,True,15.0,FGSM_eps0.3,0.2737804733587623,FGSM,0.3,1.0,,,,,
0.4219716174275628,0.6942744863950654,0.4333260889813406,0.5336060559718612,0.6146,0.5666739110186594,SVM,smote,True,15.0,FGSM_eps0.3,0.5122367267644341,FGSM,0.3,1.0,,,,,
0.1215617522329361,0.1982897508985004,0.0496755565214691,0.0794478375291722,0.6469,0.9503244434785308,RF,smote,True,15.0,FGSM_eps0.3,0.8779644151721196,FGSM,0.3,1.0,,,,,
0.0413418939088819,0.1356051911362231,0.0476885342606103,0.0705622932745314,0.9791,0.9523114657393896,MLP,smote,True,15.0,FGSM_eps0.3,0.958184273496174,FGSM,0.3,1.0,,,,,
0.5249117486791917,0.8273021001615509,0.4769784842745816,0.6050926564130842,0.3207,0.5230215157254183,LR,smote,True,15.0,FGSM_eps0.5,0.40543485986401,FGSM,0.5,1.0,,,,,
0.2716482266815134,0.5389189763194223,0.3151293116830699,0.3977038967145348,0.8684,0.6848706883169301,SVM,smote,True,15.0,FGSM_eps0.5,0.6642422232225355,FGSM,0.5,1.0,,,,,
0.1379326683882584,0.2311454311454311,0.0557608121953491,0.0898471697641261,0.5974,0.9442391878046508,RF,smote,True,15.0,FGSM_eps0.5,0.8615698073870501,FGSM,0.5,1.0,,,,,
0.0643938496529176,0.2049432739059967,0.0785184265267471,0.1135379020853442,0.9811,0.9214815734732528,MLP,smote,True,15.0,FGSM_eps0.5,0.9349664763439076,FGSM,0.5,1.0,,,,,
0.4006254590253263,0.6659302660647393,0.430500791704182,0.522939412796289,0.6956,0.5694992082958179,LR,smote,True,15.0,FGSM_eps0.75,0.5328958279040015,FGSM,0.75,1.0,,,,,
0.2469852401146675,0.5107198708570853,0.3143220838895961,0.3891451414514145,0.9699,0.685677916110404,SVM,smote,True,15.0,FGSM_eps0.75,0.6891421260868535,FGSM,0.75,1.0,,,,,
0.1403018313629794,0.239857106404695,0.0583687789127262,0.0938896796264389,0.5958,0.9416312210872736,RF,smote,True,15.0,FGSM_eps0.75,0.8591532611528347,FGSM,0.75,1.0,,,,,
0.0521689687033571,0.1704142011834319,0.0625912012170511,0.0915552124253502,0.9814,0.9374087987829488,MLP,smote,True,15.0,FGSM_eps0.75,0.9472387405529626,FGSM,0.75,1.0,,,,,
