accuracy,precision,recall,f1,fpr,fnr,model,selector,n_features,attack,asr,family,epsilon,iters,confidence
0.9186150875316176,0.9525999912384456,0.8645607617835914,0.9064476796898612,0.0360666666666666,0.1354392382164085,LR,rf,15,clean,0.0,,,,
0.921425527864156,0.9710594198307464,0.8531300320060434,0.9082828026286548,0.0213166666666666,0.1468699679939566,SVM,rf,15,clean,0.0,,,,
0.999764285649529,0.9998806896140308,0.9996024093990418,0.999741530141562,0.0001,0.0003975906009581,RF,rf,15,clean,0.0,,,,
0.9977063180511864,0.9979108635097492,0.9970578295529092,0.9974841641558028,0.00175,0.0029421704470906,MLP,rf,15,clean,0.0,,,,
0.4481927055474465,0.3463921123811185,0.2367652028706041,0.2812743546749167,0.37455,0.7632347971293959,LR,rf,15,FGSM_eps0.15,0.4714015031322811,FGSM,0.15,1.0,
0.45850974134883,0.364835795210096,0.2528676222094109,0.2987037384933308,0.3690833333333333,0.747132377790589,SVM,rf,15,FGSM_eps0.15,0.4658894137058829,FGSM,0.15,1.0,
0.496396290218761,0.193717888836992,0.0329801403494821,0.0563643467477534,0.1150833333333333,0.9670198596505178,RF,rf,15,FGSM_eps0.15,0.503431456986664,FGSM,0.15,1.0,
0.2666835897482389,0.0853804023642969,0.0626006401208675,0.0722371967654986,0.5622166666666667,0.9373993598791324,MLP,rf,15,FGSM_eps0.15,0.7329447068529414,FGSM,0.15,1.0,
0.1094349201744286,0.1045266267306962,0.1259169433234598,0.1142290351668169,0.9043833333333332,0.8740830566765402,LR,rf,15,FGSM_eps0.3,0.8102952775536477,FGSM,0.3,1.0,
0.1200692637552922,0.1175065445026178,0.1427747848040872,0.128914138014593,0.8989666666666667,0.8572252151959128,SVM,rf,15,FGSM_eps0.3,0.8044749462843259,FGSM,0.3,1.0,
0.4766960100813214,0.1734882492738315,0.0391825537244299,0.0639270887389725,0.1565,0.96081744627557,RF,rf,15,FGSM_eps0.3,0.5231589349337733,FGSM,0.3,1.0,
0.1048203584671314,0.0556146788990825,0.0602548555752142,0.0578418556720704,0.8578166666666667,0.9397451444247858,MLP,rf,15,FGSM_eps0.3,0.8949439271823976,FGSM,0.3,1.0,
0.0481763868616447,0.0294451710607833,0.0340138759119734,0.0315650625858999,0.93995,0.9659861240880264,LR,rf,15,FGSM_eps0.5,0.871907382392138,FGSM,0.5,1.0,
0.1012755772735102,0.0895963959723646,0.1059578951553585,0.0970926843485864,0.90265,0.8940421048446415,SVM,rf,15,FGSM_eps0.5,0.8233230283854474,FGSM,0.5,1.0,
0.4583918841735945,0.1480984340044742,0.0394807466751486,0.062342065198625,0.1904,0.9605192533248514,RF,rf,15,FGSM_eps0.5,0.5414811927146134,FGSM,0.5,1.0,
