accuracy,precision,recall,f1,fpr,fnr,model,oversample,applicable,n_features,attack,asr,family,epsilon,iters,confidence,n_train,n_categorical_selected,categorical_selected,resampled
0.8933823529411765,0.575682382133995,0.5672371638141809,0.5714285714285714,0.0598949211908931,0.432762836185819,LR,smote,True,15.0,clean,0.0,,,,,,,,
0.9022671568627452,0.6222826086956522,0.5599022004889975,0.5894465894465895,0.0486865148861646,0.4400977995110024,SVM,smote,True,15.0,clean,0.0,,,,,,,,
0.9126838235294118,0.6324786324786325,0.7237163814180929,0.6750285062713797,0.0602451838879159,0.2762836185819071,RF,smote,True,15.0,clean,0.0,,,,,,,,
0.8526348039215687,0.4484240687679083,0.7652811735941321,0.5654923215898826,0.1348511383537653,0.2347188264058679,MLP,smote,True,15.0,clean,0.0,,,,,,,,
0.1997549019607843,0.0939918908956874,0.6234718826405868,0.1633568225496476,0.8609457092819615,0.3765281173594132,LR,smote,True,15.0,FGSM_eps0.15,0.7325367647058824,FGSM,0.15,1.0,,,,,
0.1513480392156862,0.0415533980582524,0.2616136919315403,0.0717158176943699,0.8644483362521891,0.7383863080684596,SVM,smote,True,15.0,FGSM_eps0.15,0.789828431372549,FGSM,0.15,1.0,,,,,
0.8590686274509803,0.0363636363636363,0.0048899755501222,0.0086206896551724,0.0185639229422066,0.9951100244498776,RF,smote,True,15.0,FGSM_eps0.15,0.1056985294117647,FGSM,0.15,1.0,,,,,
0.321078431372549,0.118615449556775,0.687041564792176,0.2023038156947444,0.7313485113835376,0.3129584352078239,MLP,smote,True,15.0,FGSM_eps0.15,0.6773897058823529,FGSM,0.15,1.0,,,,,
0.1697303921568627,0.0663399924613644,0.4303178484107579,0.1149575440888308,0.8676007005253941,0.5696821515892421,LR,smote,True,15.0,FGSM_eps0.3,0.7625612745098039,FGSM,0.3,1.0,,,,,
0.1495098039215686,0.0393149085247177,0.2469437652811736,0.0678307588985896,0.8644483362521891,0.7530562347188264,SVM,smote,True,15.0,FGSM_eps0.3,0.7916666666666666,FGSM,0.3,1.0,,,,,
0.8204656862745098,0.0163934426229508,0.0073349633251833,0.0101351351351351,0.063047285464098,0.9926650366748166,RF,smote,True,15.0,FGSM_eps0.3,0.1446078431372549,FGSM,0.3,1.0,,,,,
0.1838235294117647,0.0590535784122017,0.3691931540342298,0.1018206338503034,0.8427320490367776,0.6308068459657702,MLP,smote,True,15.0,FGSM_eps0.3,0.8158700980392157,FGSM,0.3,1.0,,,,,
0.1681985294117647,0.0642479213907785,0.4156479217603912,0.1112929623567921,0.8672504378283713,0.5843520782396088,LR,smote,True,15.0,FGSM_eps0.5,0.7643995098039216,FGSM,0.5,1.0,,,,,
0.1495098039215686,0.0393149085247177,0.2469437652811736,0.0678307588985896,0.8644483362521891,0.7530562347188264,SVM,smote,True,15.0,FGSM_eps0.5,0.7916666666666666,FGSM,0.5,1.0,,,,,
0.3667279411764705,0.031638418079096,0.1369193154034229,0.0513997246443322,0.6003502626970227,0.863080684596577,RF,smote,True,15.0,FGSM_eps0.5,0.5925245098039216,FGSM,0.5,1.0,,,,,
0.1605392156862745,0.0459680560966108,0.2885085574572127,0.0793010752688172,0.8577933450087566,0.7114914425427873,MLP,smote,True,15.0,FGSM_eps0.5,0.8394607843137255,FGSM,0.5,1.0,,,,,
0.1672794117647058,0.0625236832133383,0.4034229828850856,0.108267716535433,0.8665499124343258,0.5965770171149144,LR,smote,True,15.0,FGSM_eps0.75,0.7659313725490197,FGSM,0.75,1.0,,,,,
0.1495098039215686,0.0393149085247177,0.2469437652811736,0.0678307588985896,0.8644483362521891,0.7530562347188264,SVM,smote,True,15.0,FGSM_eps0.75,0.7916666666666666,FGSM,0.75,1.0,,,,,
0.1694240196078431,0.0381219903691813,0.2322738386308068,0.0654946570148224,0.8395796847635727,0.7677261613691931,RF,smote,True,15.0,FGSM_eps0.75,0.7833946078431373,FGSM,0.75,1.0,,,,,
