,,,accuracy,accuracy,precision,precision,recall,recall,f1,f1,fpr,fpr,fnr,fnr,applicable,applicable,asr,asr,iters,iters,confidence,confidence,n_train,n_train,n_categorical_selected,n_categorical_selected,categorical_selected,categorical_selected
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
n_features,epsilon,resampled,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,0.15,,0.38534007352941174,0.28814532802415327,0.1145969098998773,0.09048276700866713,0.4350040749796251,0.2864888474016867,0.13429791755046347,0.0695312392963262,0.621774664331582,0.3590320440425851,0.5649959250203749,0.2864888474016867,1.0,0.0,0.5713209763071895,0.2819283118997537,12.0,10.112411659204612,,,,,,,,
15.0,0.3,,0.32929942810457513,0.2918323521933463,0.05410830078447964,0.020176612164701718,0.30328035859820696,0.19351698203651216,0.0846246504641876,0.045233989269890834,0.6669731465265616,0.3580577665504603,0.696719641401793,0.19351698203651216,1.0,0.0,0.6282552083333334,0.29084412185045,12.0,10.112411659204612,,,,,,,,
15.0,0.5,,0.26775684232026137,0.2161596085507624,0.04725013647584614,0.01264581189807004,0.2693561532192339,0.1317705448366219,0.07792251623633513,0.026380613233366813,0.732472270869819,0.26396485811412923,0.7306438467807661,0.1317705448366219,1.0,0.0,0.6894020629084968,0.2176093691259267,12.0,10.112411659204612,,,,,,,,
15.0,0.75,,0.1965507557189542,0.0965262738376602,0.047951951795595534,0.009626633143079155,0.2922779136104319,0.08568226353113614,0.08213118902962753,0.017695459637296938,0.8171628721541156,0.11964053368161685,0.707722086389568,0.08568226353113616,1.0,0.0,0.7605826184640523,0.09985783512957153,12.0,10.112411659204612,,,,,,,,
15.0,,,0.5296160130718954,0.35439095542522364,0.22142878821735892,0.24493452514601896,0.3460676446617767,0.22502665030362795,0.23642847161142377,0.24775137512804118,0.44408931698774073,0.39534435135192314,0.6539323553382234,0.22502665030362795,1.0,0.0,0.4012459150326797,0.37881559587625174,10.0,0.0,0.25,0.2581988897471611,,,,,,
20.0,0.15,,0.37448937908496727,0.2966619037223362,0.13952526340946866,0.08684817203475674,0.495721271393643,0.26839062923930246,0.15393016044232982,0.04042944954717065,0.6428779918272037,0.3747549404356402,0.5042787286063569,0.26839062923930246,1.0,0.0,0.5803206699346405,0.29505638292575875,12.0,10.339685242263949,,,,,,,,
20.0,0.3,,0.315563725490196,0.30766094956450296,0.07139150097771664,0.022926549178630778,0.3918092909535453,0.2679731850267917,0.10752186613828318,0.05603017931634655,0.6953590192644482,0.3817672669049017,0.6081907090464548,0.2679731850267916,1.0,0.0,0.6409569035947712,0.3086336034288568,12.0,10.339685242263949,,,,,,,,
20.0,0.5,,0.29488357843137253,0.2965789710845899,0.06433481483265396,0.01969039637823542,0.3663406682966585,0.2383052696409708,0.10126019160982891,0.04639872617906342,0.7153531815528312,0.3665787245912577,0.6336593317033415,0.23830526964097073,1.0,0.0,0.662249795751634,0.29720277646143456,12.0,10.339685242263949,,,,,,,,
